id,timestamp,sensor_id,temperature,humidity
209781,2025-10-25 16:40:22,DHT11_02,23.0,50.0
209783,2025-10-25 16:40:26,DHT11_02,23.0,53.0
209785,2025-10-25 16:40:29,DHT11_02,23.0,48.0
209787,2025-10-25 16:40:33,DHT11_02,23.0,49.0
209789,2025-10-25 16:40:36,DHT11_02,23.0,45.0
209791,2025-10-25 16:40:40,DHT11_02,23.0,44.0
209794,2025-10-25 16:40:46,DHT11_02,23.0,45.0
209796,2025-10-25 16:40:49,DHT11_02,23.0,48.0
209798,2025-10-25 16:40:53,DHT11_02,23.0,45.0
209800,2025-10-25 16:40:56,DHT11_02,23.0,43.0
209803,2025-10-25 16:41:03,DHT11_02,23.0,45.0
209805,2025-10-25 16:41:06,DHT11_02,23.0,45.0
209808,2025-10-25 16:41:12,DHT11_02,23.0,46.0
209810,2025-10-25 16:41:16,DHT11_02,23.0,41.0
209812,2025-10-25 16:41:19,DHT11_02,23.0,45.0
209814,2025-10-25 16:41:23,DHT11_02,23.0,44.0
209816,2025-10-25 16:41:26,DHT11_02,23.0,44.0
209818,2025-10-25 16:41:30,DHT11_02,23.0,46.0
209820,2025-10-25 16:41:33,DHT11_02,23.0,44.0
209822,2025-10-25 16:41:37,DHT11_02,23.0,46.0
209824,2025-10-25 16:41:40,DHT11_02,23.0,49.0
209826,2025-10-25 16:41:44,DHT11_02,23.0,44.0
209828,2025-10-25 16:41:47,DHT11_02,23.0,46.0
209830,2025-10-25 16:41:51,DHT11_02,23.0,45.0
209832,2025-10-25 16:41:54,DHT11_02,23.0,45.0
209834,2025-10-25 16:41:58,DHT11_02,23.0,44.0
209836,2025-10-25 16:42:02,DHT11_02,23.0,45.0
209838,2025-10-25 16:42:05,DHT11_02,23.0,46.0
209840,2025-10-25 16:42:09,DHT11_02,23.0,44.0
209842,2025-10-25 16:42:12,DHT11_02,23.0,46.0
209844,2025-10-25 16:42:16,DHT11_02,23.0,44.0
209846,2025-10-25 16:42:19,DHT11_02,23.0,42.0
209848,2025-10-25 16:42:23,DHT11_02,23.0,45.0
209851,2025-10-25 16:42:29,DHT11_02,23.0,44.0
209853,2025-10-25 16:42:32,DHT11_02,23.0,48.0
209855,2025-10-25 16:42:36,DHT11_02,23.0,48.0
209857,2025-10-25 16:42:42,DHT11_02,23.0,47.0
209859,2025-10-25 16:42:45,DHT11_02,23.0,45.0
209861,2025-10-25 16:42:49,DHT11_02,23.0,47.0
209863,2025-10-25 16:42:52,DHT11_02,23.0,56.0
209866,2025-10-25 16:42:58,DHT11_02,23.0,54.0
209868,2025-10-25 16:43:02,DHT11_02,23.0,61.0
209870,2025-10-25 16:43:05,DHT11_02,23.0,57.0
209872,2025-10-25 16:43:09,DHT11_02,22.0,62.0
209874,2025-10-25 16:43:13,DHT11_02,23.0,54.0
209876,2025-10-25 16:43:16,DHT11_02,23.0,50.0
209878,2025-10-25 16:43:20,DHT11_02,23.0,51.0
209880,2025-10-25 16:43:23,DHT11_02,23.0,61.0
209882,2025-10-25 16:43:29,DHT11_02,23.0,57.0
209884,2025-10-25 16:43:32,DHT11_02,23.0,56.0
209886,2025-10-25 16:43:36,DHT11_02,22.0,56.0
209888,2025-10-25 16:43:40,DHT11_02,23.0,48.0
209890,2025-10-25 16:43:43,DHT11_02,23.0,46.0
209892,2025-10-25 16:43:47,DHT11_02,23.0,44.0
209894,2025-10-25 16:43:50,DHT11_02,23.0,46.0
209896,2025-10-25 16:43:54,DHT11_02,23.0,45.0
209898,2025-10-25 16:43:57,DHT11_02,23.0,44.0
209900,2025-10-25 16:44:01,DHT11_02,23.0,49.0
209902,2025-10-25 16:44:04,DHT11_02,22.0,44.0
209904,2025-10-25 16:44:08,DHT11_02,23.0,45.0
209906,2025-10-25 16:44:11,DHT11_02,23.0,46.0
209908,2025-10-25 16:44:15,DHT11_02,23.0,47.0
209910,2025-10-25 16:44:18,DHT11_02,23.0,45.0
209912,2025-10-25 16:44:22,DHT11_02,23.0,45.0
209914,2025-10-25 16:44:25,DHT11_02,23.0,48.0
209916,2025-10-25 16:44:29,DHT11_02,23.0,48.0
209918,2025-10-25 16:44:32,DHT11_02,22.0,42.0
209920,2025-10-25 16:44:36,DHT11_02,23.0,42.0
209922,2025-10-25 16:44:39,DHT11_02,23.0,37.0
209924,2025-10-25 16:44:43,DHT11_02,23.0,44.0
209926,2025-10-25 16:44:47,DHT11_02,23.0,47.0
209928,2025-10-25 16:44:50,DHT11_02,23.0,45.0
209930,2025-10-25 16:44:54,DHT11_02,23.0,48.0
209932,2025-10-25 16:44:57,DHT11_02,23.0,47.0
209934,2025-10-25 16:45:01,DHT11_02,22.0,49.0
209936,2025-10-25 16:45:04,DHT11_02,23.0,49.0
209938,2025-10-25 16:45:08,DHT11_02,22.0,45.0
209940,2025-10-25 16:45:11,DHT11_02,22.0,47.0
209942,2025-10-25 16:45:15,DHT11_02,23.0,44.0
209944,2025-10-25 16:45:18,DHT11_02,23.0,47.0
209946,2025-10-25 16:45:22,DHT11_02,23.0,45.0
209948,2025-10-25 16:45:25,DHT11_02,22.0,45.0
209950,2025-10-25 16:45:29,DHT11_02,22.0,47.0
209952,2025-10-25 16:45:33,DHT11_02,22.0,47.0
209954,2025-10-25 16:45:36,DHT11_02,22.0,47.0
209956,2025-10-25 16:45:40,DHT11_02,22.0,45.0
209958,2025-10-25 16:45:43,DHT11_02,22.0,45.0
209960,2025-10-25 16:45:47,DHT11_02,23.0,41.0
209962,2025-10-25 16:45:50,DHT11_02,22.0,44.0
209964,2025-10-25 16:45:54,DHT11_02,22.0,46.0
209966,2025-10-25 16:45:57,DHT11_02,22.0,41.0
209968,2025-10-25 16:46:01,DHT11_02,22.0,42.0
209970,2025-10-25 16:46:04,DHT11_02,23.0,40.0
209972,2025-10-25 16:46:08,DHT11_02,23.0,45.0
209974,2025-10-25 16:46:11,DHT11_02,23.0,43.0
209976,2025-10-25 16:46:15,DHT11_02,23.0,48.0
209978,2025-10-25 16:46:18,DHT11_02,23.0,45.0
209980,2025-10-25 16:46:22,DHT11_02,22.0,46.0
209982,2025-10-25 16:46:25,DHT11_02,22.0,44.0
209984,2025-10-25 16:46:29,DHT11_02,22.0,46.0
209986,2025-10-25 16:46:32,DHT11_02,22.0,49.0
209988,2025-10-25 16:46:36,DHT11_02,22.0,48.0
209990,2025-10-25 16:46:39,DHT11_02,22.0,44.0
209992,2025-10-25 16:46:43,DHT11_02,23.0,46.0
209994,2025-10-25 16:46:49,DHT11_02,22.0,49.0
209996,2025-10-25 16:46:52,DHT11_02,22.0,44.0
209998,2025-10-25 16:46:56,DHT11_02,23.0,48.0
210000,2025-10-25 16:46:59,DHT11_02,23.0,45.0
210002,2025-10-25 16:47:03,DHT11_02,22.0,45.0
210004,2025-10-25 16:47:06,DHT11_02,22.0,48.0
210006,2025-10-25 16:47:10,DHT11_02,22.0,47.0
210008,2025-10-25 16:47:13,DHT11_02,22.0,45.0
210010,2025-10-25 16:47:17,DHT11_02,22.0,47.0
210012,2025-10-25 16:47:21,DHT11_02,22.0,45.0
210014,2025-10-25 16:47:24,DHT11_02,22.0,47.0
210016,2025-10-25 16:47:28,DHT11_02,22.0,42.0
210018,2025-10-25 16:47:31,DHT11_02,22.0,44.0
210020,2025-10-25 16:47:35,DHT11_02,22.0,45.0
210022,2025-10-25 16:47:38,DHT11_02,22.0,43.0
210024,2025-10-25 16:47:42,DHT11_02,23.0,40.0
210026,2025-10-25 16:47:45,DHT11_02,22.0,44.0
210028,2025-10-25 16:47:49,DHT11_02,22.0,46.0
210030,2025-10-25 16:47:52,DHT11_02,22.0,44.0
210032,2025-10-25 16:47:56,DHT11_02,22.0,45.0
210034,2025-10-25 16:47:59,DHT11_02,22.0,42.0
210036,2025-10-25 16:48:03,DHT11_02,22.0,44.0
210038,2025-10-25 16:48:07,DHT11_02,22.0,46.0
210040,2025-10-25 16:48:10,DHT11_02,22.0,47.0
210042,2025-10-25 16:48:14,DHT11_02,22.0,46.0
210044,2025-10-25 16:48:17,DHT11_02,22.0,47.0
210046,2025-10-25 16:48:21,DHT11_02,22.0,41.0
210048,2025-10-25 16:48:24,DHT11_02,22.0,45.0
210050,2025-10-25 16:48:28,DHT11_02,22.0,48.0
210052,2025-10-25 16:48:31,DHT11_02,22.0,45.0
210054,2025-10-25 16:48:35,DHT11_02,22.0,47.0
210056,2025-10-25 16:48:38,DHT11_02,22.0,45.0
210058,2025-10-25 16:48:42,DHT11_02,22.0,43.0
210060,2025-10-25 16:48:45,DHT11_02,22.0,46.0
210062,2025-10-25 16:48:49,DHT11_02,22.0,45.0
210064,2025-10-25 16:48:52,DHT11_02,22.0,45.0
210066,2025-10-25 16:48:56,DHT11_02,22.0,43.0
210068,2025-10-25 16:48:59,DHT11_02,22.0,44.0
210070,2025-10-25 16:49:03,DHT11_02,22.0,46.0
210073,2025-10-25 16:49:09,DHT11_02,22.0,55.0
210075,2025-10-25 16:49:13,DHT11_02,22.0,63.0
210077,2025-10-25 16:49:16,DHT11_02,22.0,62.0
210079,2025-10-25 16:49:20,DHT11_02,22.0,59.0
210081,2025-10-25 16:49:23,DHT11_02,22.0,46.0
210083,2025-10-25 16:49:27,DHT11_02,22.0,46.0
210085,2025-10-25 16:49:30,DHT11_02,22.0,42.0
210087,2025-10-25 16:49:34,DHT11_02,22.0,47.0
210089,2025-10-25 16:49:37,DHT11_02,22.0,46.0
210091,2025-10-25 16:49:41,DHT11_02,22.0,45.0
210093,2025-10-25 16:49:44,DHT11_02,22.0,48.0
210095,2025-10-25 16:49:48,DHT11_02,22.0,26.0
210098,2025-10-25 16:49:54,DHT11_02,22.0,36.0
210100,2025-10-25 16:49:57,DHT11_02,22.0,42.0
210102,2025-10-25 16:50:01,DHT11_02,22.0,45.0
210104,2025-10-25 16:50:05,DHT11_02,22.0,44.0
210106,2025-10-25 16:50:08,DHT11_02,22.0,48.0
210108,2025-10-25 16:50:12,DHT11_02,22.0,46.0
210110,2025-10-25 16:50:15,DHT11_02,22.0,51.0
210112,2025-10-25 16:50:19,DHT11_02,22.0,48.0
210114,2025-10-25 16:50:22,DHT11_02,22.0,47.0
210116,2025-10-25 16:50:26,DHT11_02,22.0,52.0
210118,2025-10-25 16:50:29,DHT11_02,22.0,46.0
210120,2025-10-25 16:50:33,DHT11_02,22.0,47.0
210122,2025-10-25 16:50:36,DHT11_02,22.0,46.0
210124,2025-10-25 16:50:40,DHT11_02,22.0,46.0
210126,2025-10-25 16:50:43,DHT11_02,23.0,46.0
210128,2025-10-25 16:50:49,DHT11_02,22.0,48.0
210131,2025-10-25 16:50:55,DHT11_02,22.0,44.0
210133,2025-10-25 16:50:59,DHT11_02,23.0,45.0
210135,2025-10-25 16:51:02,DHT11_02,22.0,49.0
210137,2025-10-25 16:51:06,DHT11_02,22.0,45.0
210139,2025-10-25 16:51:09,DHT11_02,23.0,44.0
210141,2025-10-25 16:51:15,DHT11_02,22.0,43.0
210143,2025-10-25 16:51:19,DHT11_02,22.0,45.0
210145,2025-10-25 16:51:22,DHT11_02,23.0,44.0
210147,2025-10-25 16:51:26,DHT11_02,23.0,43.0
210149,2025-10-25 16:51:29,DHT11_02,22.0,43.0
210151,2025-10-25 16:51:33,DHT11_02,23.0,43.0
210153,2025-10-25 16:51:36,DHT11_02,23.0,46.0
210155,2025-10-25 16:51:40,DHT11_02,23.0,43.0
210157,2025-10-25 16:51:43,DHT11_02,23.0,35.0
210159,2025-10-25 16:51:47,DHT11_02,23.0,36.0
210161,2025-10-25 16:51:50,DHT11_02,23.0,46.0
210163,2025-10-25 16:51:54,DHT11_02,23.0,48.0
210165,2025-10-25 16:51:57,DHT11_02,23.0,43.0
210167,2025-10-25 16:52:01,DHT11_02,23.0,55.0
210169,2025-10-25 16:52:04,DHT11_02,23.0,46.0
210171,2025-10-25 16:52:08,DHT11_02,23.0,56.0
210173,2025-10-25 16:52:11,DHT11_02,22.0,56.0
210175,2025-10-25 16:52:15,DHT11_02,23.0,45.0
210177,2025-10-25 16:52:18,DHT11_02,23.0,48.0
210179,2025-10-25 16:52:22,DHT11_02,23.0,48.0
210181,2025-10-25 16:52:26,DHT11_02,23.0,44.0
210183,2025-10-25 16:52:29,DHT11_02,23.0,40.0
210185,2025-10-25 16:52:33,DHT11_02,23.0,35.0
210187,2025-10-25 16:52:36,DHT11_02,23.0,40.0
210189,2025-10-25 16:52:40,DHT11_02,23.0,45.0
210191,2025-10-25 16:52:43,DHT11_02,22.0,45.0
210193,2025-10-25 16:52:47,DHT11_02,23.0,45.0
210195,2025-10-25 16:52:50,DHT11_02,22.0,46.0
210197,2025-10-25 16:52:54,DHT11_02,23.0,47.0
210199,2025-10-25 16:52:57,DHT11_02,22.0,45.0
210201,2025-10-25 16:53:01,DHT11_02,23.0,30.0
210203,2025-10-25 16:53:04,DHT11_02,22.0,44.0
210205,2025-10-25 16:53:08,DHT11_02,23.0,35.0
210208,2025-10-25 16:53:14,DHT11_02,22.0,49.0
210210,2025-10-25 16:53:17,DHT11_02,23.0,49.0
210212,2025-10-25 16:53:21,DHT11_02,22.0,44.0
210214,2025-10-25 16:53:24,DHT11_02,22.0,48.0
210216,2025-10-25 16:53:28,DHT11_02,23.0,48.0
210218,2025-10-25 16:53:32,DHT11_02,22.0,45.0
210220,2025-10-25 16:53:35,DHT11_02,22.0,46.0
210222,2025-10-25 16:53:39,DHT11_02,22.0,45.0
210224,2025-10-25 16:53:42,DHT11_02,22.0,48.0
210226,2025-10-25 16:53:46,DHT11_02,22.0,43.0
210228,2025-10-25 16:53:49,DHT11_02,22.0,45.0
210230,2025-10-25 16:53:53,DHT11_02,22.0,49.0
210232,2025-10-25 16:53:56,DHT11_02,22.0,47.0
210234,2025-10-25 16:54:00,DHT11_02,23.0,47.0
210236,2025-10-25 16:54:03,DHT11_02,22.0,46.0
210238,2025-10-25 16:54:07,DHT11_02,22.0,45.0
210240,2025-10-25 16:54:10,DHT11_02,22.0,49.0
210242,2025-10-25 16:54:14,DHT11_02,22.0,46.0
210244,2025-10-25 16:54:17,DHT11_02,22.0,47.0
210246,2025-10-25 16:54:21,DHT11_02,22.0,48.0
210248,2025-10-25 16:54:24,DHT11_02,22.0,51.0
210250,2025-10-25 16:54:28,DHT11_02,22.0,45.0
210252,2025-10-25 16:54:32,DHT11_02,22.0,48.0
210254,2025-10-25 16:54:35,DHT11_02,22.0,48.0
210256,2025-10-25 16:54:39,DHT11_02,22.0,46.0
210258,2025-10-25 16:54:42,DHT11_02,22.0,44.0
210260,2025-10-25 16:54:46,DHT11_02,22.0,41.0
210262,2025-10-25 16:54:49,DHT11_02,22.0,43.0
210264,2025-10-25 16:54:53,DHT11_02,22.0,47.0
210266,2025-10-25 16:54:56,DHT11_02,22.0,49.0
210268,2025-10-25 16:55:00,DHT11_02,22.0,48.0
210270,2025-10-25 16:55:03,DHT11_02,22.0,43.0
210272,2025-10-25 16:55:07,DHT11_02,22.0,44.0
210274,2025-10-25 16:55:10,DHT11_02,22.0,44.0
210276,2025-10-25 16:55:14,DHT11_02,22.0,46.0
210278,2025-10-25 16:55:17,DHT11_02,22.0,48.0
210280,2025-10-25 16:55:21,DHT11_02,22.0,50.0
210282,2025-10-25 16:55:24,DHT11_02,22.0,56.0
210284,2025-10-25 16:55:30,DHT11_02,22.0,45.0
210286,2025-10-25 16:55:34,DHT11_02,22.0,43.0
210288,2025-10-25 16:55:37,DHT11_02,22.0,46.0
210290,2025-10-25 16:55:41,DHT11_02,22.0,48.0
210292,2025-10-25 16:55:44,DHT11_02,22.0,47.0
210294,2025-10-25 16:55:48,DHT11_02,22.0,41.0
210296,2025-10-25 16:55:52,DHT11_02,22.0,46.0
210298,2025-10-25 16:55:55,DHT11_02,22.0,43.0
210300,2025-10-25 16:55:59,DHT11_02,22.0,56.0
